X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-95.938611,19.266667,train,4.326916105229141E-5,5.290277114307923,0.25670900355000087
-86.741566,21.1618,train,5.13151971984918E-4,95.59741206679341,0.8037639594877461
-61.279722,14.086389,train,6.6119020375113E-5,24.53727498207902,0.34544364532240385
-61.284444,14.112778,train,6.512964000156813E-5,23.565144038030223,0.3420426043698516
-86.83525,20.91074,train,5.53737424745726E-4,96.51143751328142,0.8154930833606638
-87.82033,18.278457,train,2.5628063973599796E-4,83.07460191583749,0.6716568832337705
-63.4499,17.2472,train,6.303511401893518E-5,20.815627708552963,0.33472466679870033
-95.92,19.06234,train,4.025493732780142E-5,4.446204338416825,0.243174768570794
-95.83779,19.07921,train,4.177127929691594E-5,4.870190108530981,0.25004437848617145
-67.960334,18.06899,train,8.838502503022296E-5,36.572720019747,0.4136535430417155
-67.903826,18.056677,train,8.734293542790109E-5,35.99065427280689,0.4107798477668618
-80.090538,26.162451,train,6.818572884889964E-4,99.002771534291,0.8447803915317704
-80.102493,26.01255,train,6.003671528279265E-4,97.70562646465379,0.8273493384584281
-82.809517,24.66868,train,7.861111232972783E-5,32.09838938788207,0.38554647432686956
-82.922302,24.63526,train,8.582977878571397E-5,35.29950309578465,0.40655661980692115
-82.905563,24.688881,train,7.944049793911916E-5,32.5069263133976,0.38803576340015616
-80.348152,25.034967,train,3.994765783932642E-4,92.83009600152982,0.761254666160129
